5A8	Aleknagik / New Airport
YTEF	Telfer Airport
YTEM	Temora Airport
YTGM	Thargomindah Airport
YTIB	Tibooburra Airport
YTMU	Tumut Airport
YTNG	Thangool Airport
YTNK	Tennant Creek Airport
YTRE	Taree Airport
YTY	Yangzhou Taizhou Airport
YWDH	Windorah Airport
YWGT	Wangaratta Airport
YWHA	Whyalla Airport
YWKB	Warracknabeal Airport
YWLG	Walgett Airport
YWLM	Newcastle Airport
YWLU	Wiluna Airport
YWOL	Wollongong Airport
YWRN	Warren Airport
YWSL	West Sale Airport
YWTN	Winton Airport
YWWL	West Wyalong Airport
YWYY	Wynyard Airport
YYA	Sanhe Airport
YYNG	Young Airport
Z19O	Wujah Al Hajar Air Base
ZBAA	Beijing Capital International Airport
ZBAD	Beijing Daxing International Airport
ZBBB	Beijing Xijiao Airport
ZBCD	Chengde Puning Airport
ZBCF	Chifeng Airport
ZBDH	Qinhuangdao Beidaihe Airport
ZBDS	Ordos Ejin Horo Airport
ZBER	Erenhot Saiwusu International Airport
ZBES	Arxan Yi'ershi Airport
ZBHD	Handan Airport
ZBHH	Baita International Airport
ZBHZ	Holingol Huolinhe Airport
ZBLA	Dongshan Airport
ZBLF	Linfen Qiaoli Airport
ZBLL	LÃ¼liang Airport
ZBMZ	Manzhouli Xijiao Airport
ZBNY	Beijing Nanyuan Airport
ZBOW	Baotou Airport
ZBSJ	Shijiazhuang Daguocun International Airport
ZBTJ	Tianjin Binhai International Airport
ZBTL	Tongliao Airport
ZBUC	Ulanqab Jining Airport
ZBXH	Xilinhot Airport
ZBYN	Taiyuan Wusu Airport
ZBYZ	Bayannur Tianjitai Airport
ZBZL	Chengjisihan Airport
ZGCD	Changde Airport
ZGCJ	Zhijiang Airport
ZGGG	Guangzhou Baiyun International Airport
ZGHA	Changsha Huanghua International Airport
ZGHC	Hechi Jinchengjiang Airport
ZGKL	Guilin Liangjiang International Airport
ZGLG	Lingling Airport
ZGNN	Nanning Wuxu Airport
ZGOW	Jieyang Chaoshan International Airport
ZGSD	Zhuhai Jinwan Airport
ZGSY	Shaoyang Wugang Airport
ZGSZ	Shenzhen Bao'an International Airport
ZGZH	Liuzhou Bailian Airport
ZGZJ	Zhanjiang Airport
ZHCC	Zhengzhou Xinzheng International Airport
ZHGH	Guangzhou MR Air Base
ZHHH	Wuhan Tianhe International Airport
ZHSN	Shennongjia Hongping Airport
ZHSY	Shiyan Wudangshan Airport
ZHYC	Yichang Sanxia Airport
ZJHK	Haikou Meilan International Airport
ZJQH	Qionghai Bo'ao Airport
ZJSY	Sanya Phoenix International Airport
ZKPY	Pyongyang Sunan International Airport
ZKSC	Sunchon Air Base
ZKSD	Sondok Airport
ZKWS	Wonsan Kalma International Airport
ZLDH	Dunhuang Airport
ZLGM	Golmud Airport
ZLGY	Guyuan Liupanshan Airport
ZLHX	Huatugou Airport
ZLJN	Jining Qufu Airport
ZLJQ	Jiayuguan Airport
ZLLL	Lanzhou Zhongchuan Airport
ZLLN	Longnan Chengzhou Airport
ZLQY	Qingyang Airport
ZLSN	Xi'an Xiguan Airport
ZLXH	Gannan Xiahe Airport
ZLXN	Xining Caojiabu Airport
ZLXY	Xi'an Xianyang International Airport
ZLZW	Zhongwei Shapotou Airport
ZMAH	Arvaikheer Airport
ZMAT	Altai Airport
ZMBH	Bayankhongor Airport
ZMBN	Bulgan Airport
ZMBU	Baruun Urt Airport
ZMCD	Choibalsan Airport
ZMDZ	Dalanzadgad Airport
ZMKD	Khovd Airport
ZMMN	MÃ¶rÃ¶n Airport
ZMUB	Chinggis Khaan International Airport
ZPCW	Cangyuan Washan Airport
ZPDL	Dali Airport
ZPDQ	Diqing Airport
ZPJH	Xishuangbanna Gasa Airport
ZPJM	Lancang Jingmai Airport
ZPLJ	Lijiang Airport
ZPLX	Mangshi Airport
ZPPP	Kunming Changshui International Airport
ZSAM	Xiamen Gaoqi International Airport
ZSAQ	Anqing Tianzhushan Airport
ZSBB	Bengbu Airport
ZSCN	Nanchang Changbei International Airport
ZSFY	Fuyang Xiguan Airport
ZSFZ	Fuzhou Changle International Airport
ZSHC	Hangzhou Xiaoshan International Airport
ZSJD	Jingdezhen Airport
ZSJN	Yaoqiang Airport
ZSJU	Quzhou Airport
ZSLD	Longyan Guanzhishan Airport
ZSLQ	Huangyan Luqiao Airport
ZSNB	Ningbo Lishe International Airport
ZSNJ	Nanjing Lukou Airport
ZSOF	Hefei Luogang International Airport
ZSPD	Shanghai Pudong International Airport
ZSQD	Liuting Airport
ZSQZ	Quanzhou Jinjiang International Airport
ZSRG	Rugao Air Base
ZSRZ	Rizhao Shanzihe Airport
ZSSS	Shanghai Hongqiao International Airport
ZSSZ	Suzhou Guangfu Airport
ZSTX	Tunxi International Airport
ZSWF	Weifang Airport
ZSWH	Weihai Airport
ZSWU	Wuhu Air Base
ZSWX	Sunan Shuofang International Airport
ZSWY	Nanping Wuyishan Airport
ZSWZ	Wenzhou Longwan International Airport
ZSXZ	Xuzhou Guanyin Airport
ZSYA	Yangzhou Taizhou Airport
ZSYC	Yichun Mingyueshan Airport
ZSYT	Yantai Laishan Airport
ZSYW	Yiwu Airport
ZUAL	Ngari Gunsa Airport
ZUAS	Anshun Huangguoshu Airport
ZUBD	Qamdo Bangda Airport
ZUBJ	Bijie Feixiong Airport
ZUCK	Chongqing Jiangbei International Airport
ZUDC	Daocheng Yading Airport
ZUGU	Guangyuan Airport
ZUGY	Longdongbao Airport
ZUJZ	Jiuzhai Huanglong Airport
ZUKD	Kangding Airport
ZUKJ	Kaili Airport
ZULS	Lhasa Gonggar Airport
ZUMT	Zunyi Maotai Airport
ZUMY	Mianyang Airport
ZUNP	Liping Airport
ZUNZ	Nyingchi Airport
ZUPS	Liupanshui Yuezhao Airport
ZUTC	Tengchong Tuofeng Airport
ZUUU	Chengdu Shuangliu International Airport
ZUXC	Xichang Qingshan Airport
ZUYI	Xingyi Airport
ZUZY	Zunyi Xinzhou Airport
ZWAK	Aksu Airport
ZWAX	Alashankou Bole (Bortala) airport
ZWCM	Qiemo Yudu Airport
ZWFY	Fuyun Koktokay Airport
ZWHM	Hami Airport
ZWKL	Korla Airport
ZWKN	Kanas Airport
ZWNL	Xinyuan Nalati Airport
ZWSC	Yeerqiang Airport
ZWSH	Kashgar Airport
ZWSS	Shanshan Airport
ZWTN	Hotan Airport
ZWTP	Turpan Jiaohe Airport
ZWWW	ÃœrÃ¼mqi Diwopu International Airport
ZYAS	Anshan Air Base
ZYCC	Longjia Airport
ZYCH	Changhai Airport
ZYCY	Chaoyang Airport
ZYDU	Wudalianchi Dedu Airport
ZYFY	Dongji Aiport
ZYHB	Taiping Airport
ZYHE	Heihe Airport
ZYJM	Jiamusi Airport
ZYJS	Jiansanjiang Airport
ZYJX	Jixi Xingkaihu Airport
ZYJZ	Jinzhou Airport
ZYLD	Lindu Airport
ZYLS	Yushu Batang Airport
ZYMD	Mudanjiang Hailang International Airport
ZYMH	Gu-Lian Airport
ZYQQ	Qiqihar Sanjiazi Airport
ZYSQ	Songyuan Chaganhu Airport
ZYTL	Zhoushuizi Airport
ZYTN	Tonghua Sanyuanpu Airport
ZYTX	Taoxian Airport
ZYYJ	Yanji Chaoyangchuan Airport
ZYYK	Yingkou Lanqi Airport
ZYYY	Shenyang Dongta Airport
